antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"ethnicity=Not Hispanic or Latino, outcome=originated, sex=Male",loan_purpose=Purchase,0.21959586784047314,0.5997816024197679,0.15134179221306326,0.6891832423869036,1.1490569894215703,1.0,0.019632230714944715,1.2876345556581046,0.16622303829174848,0.22654746922420405,0.22338213462366724,0.4707557045885474
"ethnicity=Not Hispanic or Latino, loan_purpose=Purchase, sex=Male",outcome=originated,0.1707173297513553,0.761105903499193,0.15134179221306326,0.8865051511377788,1.1647592628858368,1.0,0.0214078247096883,2.1048893310639687,0.17057331015789542,0.19390825233702716,0.5249156403417538,0.5426748711504029
"outcome=originated, sex=Male","ethnicity=Not Hispanic or Latino, loan_purpose=Purchase",0.28041862757414404,0.462297426580725,0.15134179221306326,0.5396994968640154,1.1674291610398457,1.0,0.021704982320237737,1.168155519613725,0.19930612771763545,0.2559154193084516,0.14394959985236291,0.4335341899964217
"loan_purpose=Purchase, sex=Male","ethnicity=Not Hispanic or Latino, outcome=originated",0.2263990491008011,0.6093002580183802,0.15134179221306326,0.6684736213078368,1.0971169181544507,1.0,0.01339679318082923,1.1784876471154102,0.11442607080101437,0.22114434183399698,0.15145483073352126,0.45842992416520295
"occupancy=PrimaryRes, outcome=originated, sex=Male",loan_purpose=Purchase,0.26446400788550556,0.5997816024197679,0.18666228583024902,0.705813571089268,1.176784296553484,1.0,0.02804163939832638,1.3604244052388783,0.20424098269659088,0.2754824079752414,0.2649352686197886,0.5085153312862639
"loan_purpose=Purchase, occupancy=PrimaryRes, sex=Male",outcome=originated,0.21211623389801026,0.761105903499193,0.18666228583024902,0.8799999999999999,1.1562122905027932,1.0,0.025219367982457747,1.9907841375067228,0.1714807864493259,0.23731478978794504,0.49768536871485747,0.5626256983240223
"outcome=originated, sex=Male","loan_purpose=Purchase, occupancy=PrimaryRes",0.28041862757414404,0.5701529749422599,0.18666228583024902,0.66565579984837,1.1675038614255793,1.0,0.02678077108962515,1.2856422359436717,0.1993822924760877,0.2811562982154813,0.2221786341158961,0.4965228151784223
"loan_purpose=Purchase, sex=Male","occupancy=PrimaryRes, outcome=originated",0.2263990491008011,0.7276118321237716,0.18666228583024902,0.82448352398839,1.1331364988690011,1.0,0.021931658922935415,1.5519236374037646,0.15187906276742716,0.24325617711507944,0.35563839875980346,0.5405122749168714
"loan_purpose=Purchase, outcome=originated, sex=Male",race=White,0.19859684386505735,0.7131647355553193,0.1430697422715281,0.7204029001021848,1.010149358466567,1.0,0.0014374766343834278,1.0258878384271897,0.012537240324222864,0.18612106354893457,0.025234569957354017,0.46050768726297875
"outcome=originated, race=White, sex=Male",loan_purpose=Purchase,0.20726510180612867,0.5997816024197679,0.1430697422715281,0.6902741514360313,1.1508758332219244,1.0,0.018755947384551927,1.2921698315972932,0.16537247781762504,0.21547395537702485,0.2261079189847147,0.4644052740874933
